date,open,high,low,close,adj_close,volume
18-06-2021,152.5200043,152.5200043,154.8000031,149.3999939,150.3800049,11628900
21-06-2021,149.6999969,149.6999969,152.6100006,145.8300018,152.5200043,8040200
22-06-2021,149.6799927,149.6799927,151.6470032,148.3999939,149.75,5790400
23-06-2021,151.5800018,151.5800018,154.5899963,147.8000031,149.7599945,9335700
24-06-2021,150.7299957,150.7299957,153.6269989,149.8600006,152.6699982,8173400
25-06-2021,149.6699982,149.6699982,153.1699982,149.2799988,151.2299957,6452400
28-06-2021,149.9400024,149.9400024,150.9299927,147.0800018,148.6150055,6451000
29-06-2021,146.0800018,146.0800018,149.9400024,145.7700043,149.75,7479000
30-06-2021,153.1399994,153.1399994,154.0899963,144.2449951,145.5449982,9798600
01-07-2021,153.0800018,153.0800018,157.4100037,151.4100037,154.5,9787100
02-07-2021,150.2299957,150.2299957,154.9499969,149.5599976,153.3099976,4826500
06-07-2021,148.3699951,148.3699951,152.8000031,147.8099976,150.0800018,5069400
07-07-2021,143.7200012,143.7200012,148.9400024,143.6000061,148.1499939,5650900
08-07-2021,142.5299988,142.5299988,143.7299957,139.5299988,140.4299927,4827200
09-07-2021,149.6399994,149.6399994,150.2599945,143.3000031,143.3000031,7065100
12-07-2021,146.6900024,146.6900024,150.4199982,146.0099945,148.9900055,3276300
13-07-2021,143.4100037,143.4100037,147.6950073,143,147.6950073,5871500
14-07-2021,139.0899963,139.0899963,144.1999969,139.0399933,143.8600006,8545500
15-07-2021,137.5,137.5,140.5200043,136.5399933,139.1799927,6576100
16-07-2021,134.3099976,134.3099976,139.7899933,133.5099945,139.6900024,6094600
19-07-2021,131.8800049,131.8800049,133.7700043,130.3099976,131.3600006,7215700
20-07-2021,136.0899963,136.0899963,137.4349976,131.6999969,132.75,6274600
21-07-2021,139.25,139.25,140.1499939,135.7250061,136.7100067,5269600
22-07-2021,139.4700012,139.4700012,141.2899933,137.6600037,141.2899933,4628400
23-07-2021,138.7299957,138.7299957,140,137.4100037,139.8000031,2811100
26-07-2021,142,142,142.1900024,137.1999969,139.1300049,6489500
27-07-2021,141.5800018,141.5800018,142.5200043,138.3099976,141.2550049,5113100
28-07-2021,143.3000031,143.3000031,143.7299957,141.0299988,141.3099976,4466800
29-07-2021,143.4700012,143.4700012,145,141.7100067,143.6459961,5005500
30-07-2021,144.0099945,144.0099945,144.6900024,141.7400055,141.75,4167100
02-08-2021,145.4900055,145.4900055,146.2700043,143.3999939,143.8500061,4522400
03-08-2021,145.6499939,145.6499939,147.7899933,143.2799988,147.7279968,5491000
04-08-2021,147.3999939,147.3999939,147.4600067,145.0099945,145.1000061,4631400
05-08-2021,150.3200073,150.3200073,150.4100037,146.3990021,146.6699982,4737500
06-08-2021,149.9900055,149.9900055,150.1900024,147.5500031,148.9900055,4043500
09-08-2021,149.4400024,149.4400024,151,148.6999969,148.7400055,5541900
10-08-2021,147.9499969,147.9499969,150.7599945,147.8500061,149.3650055,5149800
11-08-2021,148.1600037,148.1600037,149.2799988,145.1580048,147.5399933,6717700
12-08-2021,151.1499939,151.1499939,151.6799927,146.5500031,148.8600006,8794100
13-08-2021,152.7599945,152.7599945,152.7599945,144.5099945,146.6600037,16789100
16-08-2021,148.5700073,148.5700073,152.0299988,144.8999939,151.9900055,7715200
17-08-2021,143.8999939,143.8999939,148.1999969,143.5800018,145,7855100
18-08-2021,146.7400055,146.7400055,148.6799927,141.6999969,144.0200043,5190100
19-08-2021,142.6499939,142.6499939,145.2799988,141.9199982,143.7910004,4732400
20-08-2021,143.6999969,143.6999969,143.9490051,141.5,142,2996200
23-08-2021,146.7899933,146.7899933,147.6300049,144.1499939,144.8999939,4727400
24-08-2021,161.4199982,161.4199982,161.9799957,146.5,147,22096800
25-08-2021,160.3500061,160.3500061,163.0590057,158,158.7640076,7267700
26-08-2021,152.7299957,152.7299957,159.5,151.4499969,159.3399963,7243000
27-08-2021,154.1799927,154.1799927,156.4400024,151.4499969,152.2510071,4818800
30-08-2021,156.0200043,156.0200043,157.4900055,151.9199982,154.4100037,3968700
31-08-2021,154.9900055,154.9900055,158.1499939,153.5800018,155.9400024,7404000
01-09-2021,156.5899963,156.5899963,158.6399994,154.2899933,154.8399963,4324700
02-09-2021,157.1999969,157.1999969,159.4600067,156.5,156.5,3301000
03-09-2021,158,158,160.6399994,157.1999969,158.0500031,4456400
07-09-2021,165,165,165.7350006,159.5500031,159.7200012,11008800
08-09-2021,163.9299927,163.9299927,166.5500031,161.6000061,163.2299957,5866500
09-09-2021,166,166,166.9700012,160.8300018,163,5935800
10-09-2021,165.1999969,165.1999969,168.2359924,165.0099945,166.9499969,3985300
13-09-2021,160.3200073,160.3200073,162.9900055,154.7899933,160.25,7520900
14-09-2021,163.3000031,163.3000031,164.6999969,159.4100037,160.6600037,4655500
15-09-2021,166.3699951,166.3699951,166.6300049,160.4900055,162.3200073,5656000
16-09-2021,168.1499939,168.1499939,169.4499969,165.0399933,165.2599945,6094800
17-09-2021,166.5899963,166.5899963,170,163.6100006,169.3000031,20024700
20-09-2021,161.6399994,161.6399994,166.5399933,159.4450073,162.2400055,6846800
21-09-2021,169.2899933,169.2899933,170.0099945,162.9600067,164,8592500
22-09-2021,169.9600067,169.9600067,171.8099976,167.3710022,170.029007,4353600
23-09-2021,175.1300049,175.1300049,176,170.5,171.5500031,5370800
24-09-2021,175.8800049,175.8800049,176.9600067,173.6100006,174.5299988,4084900
27-09-2021,174.2599945,174.2599945,176.3190002,172.0200043,175,3551400
28-09-2021,168.5800018,168.5800018,173.5599976,166.8999939,172.5160065,4362800
29-09-2021,168.0700073,168.0700073,171.220993,166.5500031,170.1000061,2788700
30-09-2021,167.75,167.75,169.5,165.7100067,168.1000061,2662500
01-10-2021,173.0099945,173.0099945,173.1999969,168.5500031,170.3099976,4963000
04-10-2021,164.5,164.5,172.2599945,164.0299988,171.9900055,4459400
05-10-2021,164.7400055,164.7400055,166.5899963,162.4299927,165.6699982,4340100
06-10-2021,167.25,167.25,167.3200073,160.6300049,161.3899994,2461500
07-10-2021,169.6000061,169.6000061,171.2700043,168.6000061,170,2119600
08-10-2021,169.9700012,169.9700012,174.1000061,169.4799957,170.1000061,2265100
11-10-2021,166.6699982,166.6699982,171.5399933,166.6300049,170,2046300
12-10-2021,172.75,172.75,175.8999939,171.2299957,172.6940002,6028100
13-10-2021,173.5800018,173.5800018,175.1900024,171.8000031,173,3521900
14-10-2021,170.5,170.5,176.75,170.0399933,175.2400055,4139400
15-10-2021,169.1799927,169.1799927,172.9499969,168.5800018,171.8999939,3592700
18-10-2021,172.3200073,172.3200073,172.6999969,167.1100006,167.5,2793700
19-10-2021,170.7400055,170.7400055,172.8099976,170.0599976,172.5700073,2776600
20-10-2021,169.7599945,169.7599945,171.9400024,168.1999969,170.0599976,2687000
21-10-2021,170.5,170.5,171.5299988,167.6999969,169.0740051,2889400
22-10-2021,166.6399994,166.6399994,169.4400024,165.1600037,169.3000031,2986000
25-10-2021,169.2400055,169.2400055,170.3289948,166.6499939,166.6900024,2620800
26-10-2021,171.1399994,171.1399994,172,167.8999939,170.3999939,2937900
27-10-2021,169.1000061,169.1000061,172.6499939,168.8800049,170.7400055,3009800
28-10-2021,171.6999969,171.6999969,171.8500061,168.7100067,170.1999969,2143700
29-10-2021,170.6600037,170.6600037,171.3899994,168.848999,171.3899994,2294400
01-11-2021,174.6000061,174.6000061,175.4400024,170.5,170.5,4401100
02-11-2021,172.8699951,172.8699951,175.3000031,170.5800018,174.9499969,3292100
03-11-2021,172.8699951,172.8699951,173.75,170.9299927,171.8899994,2827100
04-11-2021,178.4499969,178.4499969,179.4349976,173.9600067,175.9499969,9664600
05-11-2021,201.6199951,201.6199951,203.2949982,185.9440002,186.1499939,27330500
08-11-2021,200.3200073,200.3200073,211.3359985,199.75,203.3500061,12855300
09-11-2021,194.6799927,194.6799927,201.5,187.5,201.4400024,9056100
10-11-2021,192.2200012,192.2200012,195,189.2799988,190.2299957,6704100
11-11-2021,191.6100006,191.6100006,197.9299927,190.7700043,195.1999969,5899000
12-11-2021,206.5399933,206.5399933,208.1600037,192.0599976,192.4649963,12057800
15-11-2021,207.2100067,207.2100067,209.2400055,204.1600037,206.1999969,7479300
16-11-2021,207.0399933,207.0399933,209.9299927,203.4700012,205.5899963,4431300
17-11-2021,199.1100006,199.1100006,212.5839996,198.3999939,207,6383400
18-11-2021,204.3300018,204.3300018,205,196,199.3399963,4597700
19-11-2021,196.4199982,196.4199982,199.3600006,190.5,196.6000061,8181900
22-11-2021,181.7299957,181.7299957,190.7599945,176.7200012,190.4400024,12619800
23-11-2021,178.2700043,178.2700043,183.7299957,175.25,181.1430054,6451900
24-11-2021,179.8899994,179.8899994,182.7799988,175,175.6300049,4763300
